,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA,PhiqE,Rp,Sc,gc,Kmapp_RuBP,PARaP2,fRuBP,phi,Vc,VrTPU,VrE,A,gm,Fmp_d,Fop_d,fRBss_nr,qI,Kinh,Fo,Fm,kD,Fmp_a,PhiIIop,Fmp,PhiIIo,J2pp,J2pm,Fop_a,qPp,NPQ,qPm,qM,qPno_qD,qE,fqEss,PhiqEss,PhiIIoss,J2qE,VrJ,J2,fRBss_r,Vr,qP,PhiII,reg_limit,fRBss,gsc,Photo,Trmmol,gtw,transpiration,Cond,obs_Vr,obs_Vc,obs_fRuBP,obs_PARaP,obs_PARa,obs_PAR,obs_fqEss,obs_PhiqE,obs_PhiIIoss,obs_PhiIIo,obs_qP,obs_PhiII,obs_VrJ,obs_NPQ,obs_qI,obs_qE,obs_qM,obs_Rp,obs_A,obs_gss,obs_VPDleaf,obs_Sc,obs_Photo,obs_transpiration,obs_Trmmol,obs_Cond,obs_gm,obs_reg_limit,dPGA_dt,dRuBP_dt,dPR_dt,dfP_dt,dfZ_dt,dalphar_dt,dPSIId_dt,dfR_dt,dfRB_dt,dCc_dt,dCcyt_dt,dCi_dt,dCa_dt,dH2OS_dt,dgsw_dt
0.0,5e-05,5e-05,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0003800000000000001,0.00038,0.00038,0.00038,0.02,0.09,0.0,0.0,0.0,6.603,0.2627724489795918,0.13904761904761903,393.0,0.9614856984313883,0.2206765187285205,6.577315411451816e-06,5.871674456825652e-05,0.0,0.0,-0.0,0.011075949367088608,0.011075949367088608,1.0,0.0,0.1,0.01769352290679305,0.1095890410958904,455000000.0,0.1095890410958904,0.8385466034755135,0.1095890410958904,0.8385466034755135,0.00013927998233092306,0.0,0.01769352290679305,4.226383950457147e-07,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6385466034755134,0.00013927998233092306,5.910451060441628e-05,0.0,0.9179306851660463,0.0,0.0,0.0,3.0,0.9179306851660463,0.05769230769230769,0.0,0.01275510204081633,0.761573766864976,0.0014927482962119904,0.8303063227175655,0.0,6.577315411451816e-06,0.9614856984313883,786.0,839.0,1000.0,1.0,0.0,0.6385466034755134,0.8385466034755135,0.0,0.0,5.910451060441628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.14847186416435718,1652372.0930966623,6.603,0.0,0.0014927482962119904,0.01275510204081633,0.8303063227175655,-0.0,3.0,1.533181942427158e-05,-8.028774479030448e-06,1.4514590675786333e-06,0.0187,0.00187,-0.0003719998864527635,83.9,0.006279999888823415,0.006576145952370591,-0.0010414548111549761,0.00015675700472692652,0.0,0.0,-0.0006772027431094089,6.665792514736718e-05
1.0,6.348415961501427e-05,4.2869814754902264e-05,0.2565438790523195,0.01852425406083623,0.0018680529914246362,0.9996283458590249,0.9999977088699205,0.006260321907106785,1.5746539497121214e-06,0.0002788208881744834,0.000299356861182546,0.0003051282621302032,0.0003797949953021493,0.019372238327030066,0.09006661994456541,0.0,0.0008198447966759053,1.8895847396545456e-08,6.600545967707141,0.2626747885107944,0.1711527609881292,392.8539399225968,0.9421794668684406,0.3007560791656358,5.4536316144561165e-06,6.465218433640899e-05,6.885566102677115e-07,4.328550710742894e-06,0.1645375444173429,0.011071832944641098,0.011071832944641098,1.0,8.897801705841827,0.09991801552033241,0.011075964528810399,0.011076175073396297,458097440.4895115,0.10888828256916303,1.9008780964775682e-05,0.011072057054851108,-0.0008008360157111296,0.00013849488485137933,1.6442996138486536e-06,0.017669654554392712,0.01854591880531932,8.897803141095185,0.00022018897782961208,0.003678559523944358,0.00022018897782961208,-0.0036771242705864182,0.9997798110221704,0.19992954534507687,-0.1999105365641121,0.00013849488485137933,5.7995250773962756e-05,1.6442996138486536e-06,0.9179306851660463,6.885566102677115e-07,-5.2264433271076915e-06,4.185524050420944e-09,3.0,0.9179306851660463,0.05773501278497783,5.125117446267688e-07,0.011146529034551662,0.6655300817781651,0.001493842548190859,0.717429062499388,6.885566102677115e-07,5.4536316144561165e-06,0.9421794668684406,786.0,839.0,1000.0,0.9997798110221704,0.0008198447966759053,-0.1999105365641121,-0.0008008360157111296,-5.2264433271076915e-06,4.185524050420944e-09,5.7995250773962756e-05,8.897803141095185,8.897801705841827,-0.0036771242705864182,0.003678559523944358,1.8895847396545456e-08,4.328550710742894e-06,0.14847186416435718,1652372.0930966623,6.600545967707141,5.125117446267688e-07,0.001493842548190859,0.011146529034551662,0.717429062499388,0.1645375444173429,3.0,1.267902591101089e-05,-6.728444561845105e-06,1.602421166784487e-06,0.01834947891517695,0.0018660949875174944,-0.0003713086097505499,-2.7247109517897997e-09,0.006240685067246784,0.006511717854218436,-9.397384143668105e-06,-8.999405171717127e-06,-8.615745317657763e-06,-2.3414035335526988e-07,-0.0005807856181973788,6.65819784105626e-05
2.0,7.57616898078944e-05,3.635241846607541e-05,0.2630236461235149,0.03670115212249276,0.0037321953328604053,0.9992573823522845,0.9999977061506876,0.012481452179367183,3.16040331687912e-06,0.00027656681513011657,0.0002971666197581734,0.00030301153627285463,0.00037957500556464645,0.018833859195800773,0.09013316398566584,0.0,0.0016337710024535868,3.792483980254944e-08,6.598096495672134,0.26257730952164615,0.2003849757330819,392.7081512644478,0.9157877975392456,0.3032072993912358,5.405728267623533e-06,6.484270394291469e-05,1.389239474736371e-06,4.38368738601092e-06,0.1657679565743773,0.011067724171623404,0.011067724171623404,1.0,8.901475834759857,0.09983662289975465,0.011075964546805121,0.01107617534127633,461178523.04580593,0.10819941455065363,1.9031341118648578e-05,0.01106794697708459,-0.0016147396613349382,0.00013849552913142843,3.3188305646858716e-06,0.017645936047139293,0.018530897097278357,8.90147868640741,0.00044406420960443747,0.007353012811005755,0.00044406420960443747,-0.007350161163452995,0.9995559357903956,0.19985792311608927,-0.19983889177497063,0.00013849552913142843,5.797326871433477e-05,3.3188305646858716e-06,0.9179306851660463,1.389239474736371e-06,-5.23374612882078e-06,8.45113745156511e-09,3.0,0.9179306851660463,0.05777766922158067,1.0624860883838937e-06,0.009768628972098455,0.5832592745695688,0.0014949355377661788,0.6227395597738594,1.389239474736371e-06,5.405728267623533e-06,0.9157877975392456,786.0,839.0,1000.0,0.9995559357903956,0.0016337710024535868,-0.19983889177497063,-0.0016147396613349382,-5.23374612882078e-06,8.45113745156511e-09,5.797326871433477e-05,8.90147868640741,8.901475834759857,-0.007350161163452995,0.007353012811005755,3.792483980254944e-08,4.38368738601092e-06,0.14847186416435718,1652372.0930966623,6.598096495672134,1.0624860883838937e-06,0.0014949355377661788,0.009768628972098455,0.6227395597738594,0.1657679565743773,3.0,1.1880801464414186e-05,-6.307266633629002e-06,1.5632065896638962e-06,0.018005384454589782,0.0018621903946555907,-0.00037061861762801256,-2.7141736116649898e-09,0.006201616369136988,0.006447920973877548,5.24583085967298e-07,4.0708525927797327e-07,3.5398581489068645e-07,-2.037786438490756e-07,-0.000498087274643722,6.650611820370812e-05
3.0,8.720165971586948e-05,3.0279761234147623e-05,0.2694399293439422,0.05453714301811703,0.005592435720795112,0.9988871081963715,0.9999977034415903,0.018663636172826525,4.691458772199263e-06,0.00027799944970780915,0.00029834312932727243,0.0003040840806179247,0.00037938800074341545,0.01837214451958155,0.09019963220978328,0.0,0.0024417826055634414,5.629750526639115e-08,6.595651575420641,0.26248001167490304,0.22762299932349872,392.562633521174,0.8776327683410112,0.3016447593870263,5.325012005163337e-06,6.472119291951982e-05,2.0943536331036583e-06,4.305713467989204e-06,0.16506706507851948,0.011063623033820571,0.011063623033820571,1.0,8.905145857709202,0.09975582173944367,0.011075964564732772,0.01107617560815788,464243149.6072073,0.10752218092872676,1.905381718158362e-05,0.011063844556532889,-0.002422728788381858,0.00013849616872078398,5.002093501381522e-06,0.017622367103767314,0.018515984438501183,8.905150107263678,0.0006687454699070601,0.011023360368083601,0.0006687454699070601,-0.01101911081360818,0.999331254530093,0.19978605511609018,-0.1997670012989086,0.00013849616872078398,5.798771135549542e-05,5.002093501381522e-06,0.9179306851660463,2.0943536331036583e-06,-5.259422344641328e-06,1.2742153924621355e-08,3.0,0.9179306851660463,0.05782027705755338,1.529998141461365e-06,0.008588143920210962,0.5127756010703785,0.001496027266412308,0.5430428999196503,2.0943536331036583e-06,5.325012005163337e-06,0.8776327683410112,786.0,839.0,1000.0,0.999331254530093,0.0024417826055634414,-0.1997670012989086,-0.002422728788381858,-5.259422344641328e-06,1.2742153924621355e-08,5.798771135549542e-05,8.905150107263678,8.905145857709202,-0.01101911081360818,0.011023360368083601,5.629750526639115e-08,4.305713467989204e-06,0.14847186416435718,1652372.0930966623,6.595651575420641,1.529998141461365e-06,0.001496027266412308,0.008588143920210962,0.5430428999196503,0.16506706507851948,3.0,1.0965063324768798e-05,-5.819697636553519e-06,1.4936669544977388e-06,0.017667649885273952,0.001858291591173387,-0.0003699299076980145,-2.7040007538018263e-09,0.006162792253658064,0.006384749127058163,2.343004017847888e-06,1.932023627465471e-06,1.7750762195278627e-06,-1.703093110782164e-07,-0.0004271557068468688,6.643034442821425e-05
4.0,9.760815001318177e-05,2.4757919322656816e-05,0.27579335068041594,0.07203854141543548,0.007448781334096249,0.9985175221102851,0.9999977007426846,0.02480711770375487,6.1352979281648585e-06,0.00028144289070063507,0.00030117837484121404,0.0003066969526592197,0.00037923448277620963,0.017976185679049184,0.09026602470329989,0.0,0.0032438848310969667,7.36235751379783e-08,6.593211198494212,0.2623828946339533,0.25240035717424225,392.41738618934204,0.8223377542683381,0.2979541494477998,5.148712020185348e-06,6.443507819239681e-05,2.7999370921356895e-06,4.138933363504249e-06,0.16389178779603403,0.011059529517044297,0.011059529517044297,1.0,8.908811775239434,0.0996756115168903,0.01107596458259298,0.011076175874035431,467291227.19375753,0.1068563322531523,1.907620868923144e-05,0.011059749778543782,-0.003224808622407735,0.00013849680362537382,6.683414184116408e-06,0.01759894741772314,0.018501180697675423,8.90881740457602,0.0008928079945600324,0.014689602715506567,0.0008928079945600324,-0.014683973378920356,0.99910719200544,0.1997143970944746,-0.19969532088578537,0.00013849680362537382,5.802159299576377e-05,6.683414184116408e-06,0.9179306851660463,2.7999370921356895e-06,-5.281365072425681e-06,1.703139162364139e-08,3.0,0.9179306851660463,0.05786283634826916,1.9137930594758908e-06,0.007576663711325461,0.4523827645156186,0.0014971177356018213,0.4757777256943769,2.7999370921356895e-06,5.148712020185348e-06,0.8223377542683381,786.0,839.0,1000.0,0.99910719200544,0.0032438848310969667,-0.19969532088578537,-0.003224808622407735,-5.281365072425681e-06,1.703139162364139e-08,5.802159299576377e-05,8.90881740457602,8.908811775239434,-0.014683973378920356,0.014689602715506567,7.36235751379783e-08,4.138933363504249e-06,0.14847186416435718,1652372.0930966623,6.593211198494212,1.9137930594758908e-06,0.0014971177356018213,0.007576663711325461,0.4757777256943769,0.16389178779603403,3.0,9.798607114323988e-06,-5.1975889788854675e-06,1.386832960450032e-06,0.017336183766033086,0.0018544012279554127,-0.0003692424775778938,-2.693796071433609e-09,0.006124211189643834,0.006322196190153983,4.677602993409918e-06,3.848223407666731e-06,3.552729868208853e-06,-1.3652772984666588e-07,-0.0003663166302899091,6.63546569856053e-05
5.0,0.00010669194165230675,1.994165171487036e-05,0.28208452600609996,0.08921156809588966,0.009301241668866445,0.9981486228154054,0.9999976980540236,0.03091213906203508,7.450051083233914e-06,0.00028752364741932527,0.00030618886016194047,0.00031132936922085886,0.00037911558025434,0.017636626541504167,0.09033234155249932,0.0,0.0040400857931324535,8.940061299880697e-08,6.590775356450122,0.2622859580628109,0.2740284325054922,392.2724087664543,0.7465475820813402,0.29165280097654167,4.848149317506043e-06,6.394942308688899e-05,3.503535956887147e-06,3.8553817941887894e-06,0.16195189653692507,0.011055443607132655,0.011055443607132655,1.0,8.912473587912858,0.09959599142068676,0.011075964600385391,0.011076176138903734,470322674.2563691,0.10620162423486222,1.9098515199638576e-05,0.01105566262850032,-0.004020987277932815,0.00013849743385196088,8.35456734642947e-06,0.017575676622414587,0.018486485724014137,8.912480579262752,0.0011151584956091687,0.018351740387183568,0.0011151584956091687,-0.018344749037289887,0.9988848415043908,0.19964329851082152,-0.1996241999956219,0.00013849743385196088,5.807969692701316e-05,8.35456734642947e-06,0.9179306851660463,3.503535956887147e-06,-5.296677160676572e-06,2.1297871478397798e-08,3.0,0.9179306851660463,0.05790534714903802,2.2110493641500633e-06,0.006709906468269715,0.4006309575571837,0.0014982069468055294,0.4188714885974215,3.503535956887147e-06,4.848149317506043e-06,0.7465475820813402,786.0,839.0,1000.0,0.9988848415043908,0.0040400857931324535,-0.1996241999956219,-0.004020987277932815,-5.296677160676572e-06,2.1297871478397798e-08,5.807969692701316e-05,8.912480579262752,8.912473587912858,-0.018344749037289887,0.018351740387183568,8.940061299880697e-08,3.8553817941887894e-06,0.14847186416435718,1652372.0930966623,6.590775356450122,2.2110493641500633e-06,0.0014982069468055294,0.006709906468269715,0.4188714885974215,0.16195189653692507,3.0,8.313727170129658e-06,-4.405555124080418e-06,1.2351751020055323e-06,0.017010890212738973,0.0018505213316924304,-0.00036855632488941753,-2.683518686587673e-09,0.006085871655513835,0.006260256099554065,7.517035013989632e-06,6.200483823100596e-06,5.739099743213039e-06,-1.0089115431508436e-07,-0.0003141340396660597,6.627905577751795e-05
6.0,0.00011414570057083629,1.5994307975217512e-05,0.2883140651601401,0.10606234599651522,0.01114982795980996,0.9977804090354873,0.9999976953756557,0.03697894102071188,8.594560487962543e-06,0.00029623857989548725,0.0003134049846776067,0.00031801627016562914,0.00037903317184283686,0.017345442721903706,0.090398582843567,0.0,0.0048303961875580045,1.0313472585555052e-07,6.5883440408613225,0.2621892016261138,0.2917754775496102,392.1277007509465,0.6559954994089295,0.2830727758228605,4.4393184503379905e-06,6.329387826595441e-05,4.2034258934846876e-06,3.458464116016838e-06,0.158807663857656,0.011051365289950018,0.011051365289950018,1.0,8.916131296304314,0.0995169603812442,0.011075964618109686,0.011076176402758032,473337419.61590576,0.10555781782162961,1.912073631235438e-05,0.01105158309182121,-0.0048112754512456505,0.00013849805940891583,1.0009801309030928e-05,0.01755255429778761,0.018471899329119707,8.916139632248019,0.0013350370602593943,0.02200977393058423,0.0013350370602593943,-0.022001437986880035,0.9986649629397406,0.19957300201959127,-0.19955388128327892,0.00013849805940891583,5.815962886212156e-05,1.0009801309030928e-05,0.9179306851660463,4.2034258934846876e-06,-5.3056391917514665e-06,2.5526891596440645e-08,3.0,0.9179306851660463,0.05794780951510705,2.417070392907803e-06,0.005967108951289213,0.35628046148004006,0.001499294901492487,0.37063367187749163,4.2034258934846876e-06,4.4393184503379905e-06,0.6559954994089295,786.0,839.0,1000.0,0.9986649629397406,0.0048303961875580045,-0.19955388128327892,-0.0048112754512456505,-5.3056391917514665e-06,2.5526891596440645e-08,5.815962886212156e-05,8.916139632248019,8.916131296304314,-0.022001437986880035,0.02200977393058423,1.0313472585555052e-07,3.458464116016838e-06,0.14847186416435718,1652372.0930966623,6.5883440408613225,2.417070392907803e-06,0.001499294901492487,0.005967108951289213,0.37063367187749163,0.158807663857656,3.0,6.560186301939514e-06,-3.471568355941043e-06,1.0503807447877135e-06,0.016691668936838315,0.00184665330241247,-0.0003678714472587698,-2.673233348007495e-09,0.006047772139213344,0.0061989228510556955,9.742291763933167e-06,8.036231333540176e-06,7.454932067334306e-06,-6.389669929363333e-08,-0.00026937632944761734,6.62035407057008e-05
7.0,0.00011979361164891382,1.3007647555288579e-05,0.2944825720065683,0.12259689399733728,0.01299455236897692,0.9974128794966585,0.9999976927076221,0.04300776284545316,9.551214253107315e-06,0.00030622247534809095,0.0003217315645563071,0.000325748094306289,0.0003789869674299042,0.017095752554760996,0.0904647486625901,0.0,0.005614828865771246,1.1461457103728778e-07,6.585917243316436,0.26209262498912345,0.30522288487836624,391.9832616421868,0.5668616610457293,0.27384363940470186,4.002382152436252e-06,6.259601409452548e-05,4.898418646373641e-06,3.0123973124864363e-06,0.1542792225401718,0.01104729455138704,0.01104729455138704,1.0,8.919784901000918,0.09943851711342289,0.011075964635765595,0.01107617666559428,476335400.93183756,0.10492467935448238,1.9142871686285064e-05,0.011047511153961456,-0.005595685994084961,0.0001384986803069382,1.1647415701571634e-05,0.017529579979395186,0.018457421270258262,8.919794564461116,0.001552226041701559,0.025663703906653623,0.001552226041701559,-0.02565404044645625,0.9984477739582984,0.19950357679533767,-0.1994844339236514,0.0001384986803069382,5.82467849947268e-05,1.1647415701571634e-05,0.9179306851660463,4.898418646373641e-06,-5.310173582973205e-06,2.9714063944403114e-08,3.0,0.9179306851660463,0.057990223501660325,2.532581425239526e-06,0.005330510474973195,0.3182708322323021,0.0015003816011299913,0.3296758549183634,4.898418646373641e-06,4.002382152436252e-06,0.5668616610457293,786.0,839.0,1000.0,0.9984477739582984,0.005614828865771246,-0.1994844339236514,-0.005595685994084961,-5.310173582973205e-06,2.9714063944403114e-08,5.82467849947268e-05,8.919794564461116,8.919784901000918,-0.02565404044645625,0.025663703906653623,1.1461457103728778e-07,3.0123973124864363e-06,0.14847186416435718,1652372.0930966623,6.585917243316436,2.532581425239526e-06,0.0015003816011299913,0.005330510474973195,0.3296758549183634,0.1542792225401718,3.0,4.750386000866215e-06,-2.5100944469985683e-06,8.667977528369919e-07,0.016378411455269973,0.001842797524372031,-0.00036718784231654826,-2.6628478694788998e-09,0.006009911138153969,0.0061381904992844575,9.886102074475118e-06,8.264416408277367e-06,7.680209685196809e-06,-2.944001945027443e-08,-0.0002309872814858504,6.612811167201445e-05
8.0,0.00012370753582261065,1.0940841415263297e-05,0.3005906444894987,0.13882111810637454,0.014835426905041449,0.9970460329274149,0.9999976900499619,0.04899884230298815,1.0339599660420458e-05,0.0003153472511947869,0.00032940219033142945,0.0003328841275765023,0.0003789717752868836,0.016881650341890337,0.09053083909555765,0.0,0.0063933982665218304,1.240751959250455e-07,6.58349495541972,0.2619962278177236,0.3145417519585968,391.8390909404741,0.4945467971645207,0.265919797300025,3.6312062168904313e-06,6.200277692177947e-05,5.587862901621818e-06,2.611452933804631e-06,0.14891209112515805,0.011043231377360609,0.011043231377360609,1.0,8.923434402602501,0.09936066017334783,0.011075964653352857,0.011076176927408603,479316562.60755444,0.10430198081666321,1.9164920995528456e-05,0.011043446800412433,-0.006374233345526302,0.00013849929655721817,1.3269543394221707e-05,0.017506753170430163,0.018443051293166472,8.923445376836302,0.001767018862477931,0.0293135308897714,0.001767018862477931,-0.02930255665597059,0.9982329811375221,0.19943492864668633,-0.1994157637256908,0.00013849929655721817,5.832266100955691e-05,1.3269543394221707e-05,0.9179306851660463,5.587862901621818e-06,-5.312760776284695e-06,3.3864776896998105e-08,3.0,0.9179306851660463,0.058032589163819,2.570561782791056e-06,0.004784902912616529,0.2856940323631738,0.0015014670471835841,0.29485022247200043,5.587862901621818e-06,3.6312062168904313e-06,0.4945467971645207,786.0,839.0,1000.0,0.9982329811375221,0.0063933982665218304,-0.1994157637256908,-0.006374233345526302,-5.312760776284695e-06,3.3864776896998105e-08,5.832266100955691e-05,8.923445376836302,8.923434402602501,-0.02930255665597059,0.0293135308897714,1.240751959250455e-07,2.611452933804631e-06,0.14847186416435718,1652372.0930966623,6.58349495541972,2.570561782791056e-06,0.0015014670471835841,0.004784902912616529,0.29485022247200043,0.14891209112515805,3.0,3.122963963884185e-06,-1.6480284171023684e-06,7.174592293000032e-07,0.01607100183868246,0.0018389534264147387,-0.0003665055076977552,-2.652460690297882e-09,0.005972287159160649,0.0060780531571507845,8.096708163766295e-06,6.838262075419678e-06,6.368033511718177e-06,-2.508954607758276e-09,-0.0001980604715285518,6.605276857843146e-05
9.0,0.00012614571487144734,9.654769956185688e-06,0.30663887469013157,0.1547408076867887,0.016672462834620747,0.9966798680586182,0.9999976874027097,0.05495241567040287,1.1002296800890653e-05,0.0003220801814957552,0.00033511640767217477,0.00033821064336330515,0.00037897854388113715,0.01669807366916204,0.09059685422836064,0.0,0.00716612006467524,1.3202756161068785e-07,6.581077168791055,0.26190000977841954,0.32034694017011267,391.69518814703696,0.44540757757711386,0.26036087264792784,3.38078003654714e-06,6.158982043086464e-05,6.2715216884573215e-06,2.3206767683477884e-06,0.14386920767695754,0.011039175753813808,0.011039175753813808,1.0,8.927079801721307,0.09928338799353248,0.011075964670871245,0.011076177188197603,482280854.50315905,0.10368949990391133,1.918688395349258e-05,0.011039390016702386,-0.007146933180721747,0.00013849990817241985,1.487935486951394e-05,0.017484073349169467,0.018428789109147574,8.927092070312245,0.001979846027255669,0.032959255467682524,0.001979846027255669,-0.03294698687674469,0.9980201539727444,0.19936691964611322,-0.19934773276215972,0.00013849990817241985,5.8376534841060164e-05,1.487935486951394e-05,0.9179306851660463,6.2715216884573215e-06,-5.315157566213825e-06,3.798707597073783e-08,3.0,0.9179306851660463,0.05807490655664144,2.5536402971571064e-06,0.004317274337848475,0.25777315379707694,0.0015025512411170547,0.26520385310288874,6.2715216884573215e-06,3.38078003654714e-06,0.44540757757711386,786.0,839.0,1000.0,0.9980201539727444,0.00716612006467524,-0.19934773276215972,-0.007146933180721747,-5.315157566213825e-06,3.798707597073783e-08,5.8376534841060164e-05,8.927092070312245,8.927079801721307,-0.03294698687674469,0.032959255467682524,1.3202756161068785e-07,2.3206767683477884e-06,0.14847186416435718,1652372.0930966623,6.581077168791055,2.5536402971571064e-06,0.0015025512411170547,0.004317274337848475,0.26520385310288874,0.14386920767695754,3.0,1.810372645456119e-06,-9.544795727568167e-07,6.161677173247311e-07,0.01576932377554737,0.001835120182428291,-0.0003658244410417933,-2.6420461538771266e-09,0.005934898718413285,0.006018504995288734,5.289793076474434e-06,4.5153248578612085e-06,4.214324919736052e-06,1.429392190138459e-08,-0.00016981890473337713,6.597751132703605e-05
