,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA
0.0,5e-05,5e-05,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0003800000000000001,0.00038,0.00038,0.00038,0.02,0.09,0.0
1.0,6.348415961501427e-05,4.2869814754902264e-05,0.2565438790523195,0.01852425406083623,0.0018680529914246362,0.9996283458590249,0.9999977088699205,0.006260321907106785,1.5746539497121214e-06,0.0002788208881744834,0.000299356861182546,0.0003051282621302032,0.0003797949953021493,0.019372238327030066,0.09006661994456541,0.0
2.0,7.57616898078944e-05,3.635241846607541e-05,0.2630236461235149,0.03670115212249276,0.0037321953328604053,0.9992573823522845,0.9999977061506876,0.012481452179367183,3.16040331687912e-06,0.00027656681513011657,0.0002971666197581734,0.00030301153627285463,0.00037957500556464645,0.018833859195800773,0.09013316398566584,0.0
3.0,8.720165971586948e-05,3.0279761234147623e-05,0.2694399293439422,0.05453714301811703,0.005592435720795112,0.9988871081963715,0.9999977034415903,0.018663636172826525,4.691458772199263e-06,0.00027799944970780915,0.00029834312932727243,0.0003040840806179247,0.00037938800074341545,0.01837214451958155,0.09019963220978328,0.0
4.0,9.760815001318177e-05,2.4757919322656816e-05,0.27579335068041594,0.07203854141543548,0.007448781334096249,0.9985175221102851,0.9999977007426846,0.02480711770375487,6.1352979281648585e-06,0.00028144289070063507,0.00030117837484121404,0.0003066969526592197,0.00037923448277620963,0.017976185679049184,0.09026602470329989,0.0
5.0,0.00010669194165230675,1.994165171487036e-05,0.28208452600609996,0.08921156809588966,0.009301241668866445,0.9981486228154054,0.9999976980540236,0.03091213906203508,7.450051083233914e-06,0.00028752364741932527,0.00030618886016194047,0.00031132936922085886,0.00037911558025434,0.017636626541504167,0.09033234155249932,0.0
6.0,0.00011414570057083629,1.5994307975217512e-05,0.2883140651601401,0.10606234599651522,0.01114982795980996,0.9977804090354873,0.9999976953756557,0.03697894102071188,8.594560487962543e-06,0.00029623857989548725,0.0003134049846776067,0.00031801627016562914,0.00037903317184283686,0.017345442721903706,0.090398582843567,0.0
7.0,0.00011979361164891382,1.3007647555288579e-05,0.2944825720065683,0.12259689399733728,0.01299455236897692,0.9974128794966585,0.9999976927076221,0.04300776284545316,9.551214253107315e-06,0.00030622247534809095,0.0003217315645563071,0.000325748094306289,0.0003789869674299042,0.017095752554760996,0.0904647486625901,0.0
8.0,0.00012370753582261065,1.0940841415263297e-05,0.3005906444894987,0.13882111810637454,0.014835426905041449,0.9970460329274149,0.9999976900499619,0.04899884230298815,1.0339599660420458e-05,0.0003153472511947869,0.00032940219033142945,0.0003328841275765023,0.0003789717752868836,0.016881650341890337,0.09053083909555765,0.0
9.0,0.00012614571487144734,9.654769956185688e-06,0.30663887469013157,0.1547408076867887,0.016672462834620747,0.9966798680586182,0.9999976874027097,0.05495241567040287,1.1002296800890653e-05,0.0003220801814957552,0.00033511640767217477,0.00033821064336330515,0.00037897854388113715,0.01669807366916204,0.09059685422836064,0.0
10.0,0.0001274380793412625,8.973565527498746e-06,0.3126278489487826,0.17036163872029997,0.018505670674329445,0.9963143836234629,0.9999976847658968,0.06086871776089413,1.1587142408204865e-05,0.00032590426870034904,0.00033841489412167193,0.0003412945513219998,0.00037899711945322666,0.016540673001483947,0.09066279414679318,0.0
11.0,0.00012789642291796433,8.732048921472105e-06,0.3185581477566855,0.1856891751767685,0.020335060424241064,0.9959495783575404,0.9999976821395523,0.06674798189101136,1.2135936351376723e-05,0.000327067189406512,0.00033948897895045953,0.00034231018340552283,0.00037901866964459776,0.016405730940682095,0.09072865893654992,0.0
12.0,0.00012777037765237487,8.798460878046418e-06,0.324430345984488,0.20072887688696237,0.02216064183407446,0.9955854509987646,0.9999976795237007,0.07259043993363141,1.2680703081161447e-05,0.00032611428170144387,0.0003387870343939286,0.0003416726543483363,0.0003790368232677579,0.016290050219398073,0.09079444868322896,0.0
13.0,0.0001272444925433795,9.0756176800585e-06,0.3302450128636535,0.21548610149163483,0.023982424543073765,0.9952220002873982,0.9999976769183638,0.0783963223082175,1.3244620733229648e-05,0.00032363360402466745,0.00033679988689244836,0.000339837999487065,0.00037904759946893053,0.016190889229028504,0.09086016347233077,0.0
14.0,0.00012644775392314819,9.49569885475066e-06,0.3360027120383774,0.22996610698322817,0.025800418154894374,0.9948592249660476,0.9999976743235601,0.08416585798923994,1.3843782803213997e-05,0.00032011983201241117,0.0003339426754848437,0.0003371924307312569,0.00037904896068337345,0.01610589948761061,0.09092580338925822,0.0
15.0,0.00012546718659136712,1.0012972520452541e-05,0.341704001635743,0.24417405430468175,0.027614632278579437,0.9944971237796552,0.9999976717393038,0.08989927451879667,1.4489171910006898e-05,0.0003159392393891933,0.00033052296034921793,0.0003340221461046422,0.0003790402163649805,0.01603306333569088,0.090991368519317,0.0
16.0,0.00012435990940886694,1.0597437418432669e-05,0.347349434315985,0.25811500909789264,0.029425076533923962,0.9941356954754949,0.9999976691656062,0.095596798014793,1.5188115096967653e-05,0.000311361536749328,0.00032676861290889563,0.00033053947597712574,0.00037902154088161397,0.015970650008136685,0.09105685894771556,0.0
17.0,0.00012316216202616076,1.1230074149700698e-05,0.35293955732236815,0.27179394341886853,0.031231760556240218,0.993774938803169,0.9999976666024762,0.10125865317909145,1.5945329654961766e-05,0.00030656978715784257,0.0003228342595309767,0.0003268885243463886,0.000378993641813541,0.015917177199975797,0.09112227475956523,0.0
18.0,0.00012189616027806643,1.1899234008347304e-05,0.35847491253643726,0.28521573749370355,0.03303469399199128,0.9934148525146036,0.9999976640499184,0.10688506330679268,1.6763781638566953e-05,0.0003016818313496259,0.0003188191946894194,0.00032316179284695484,0.0003789574974623975,0.015871373527458002,0.09118761603988046,0.0
19.0,0.00012057503881708086,1.2598039066645798e-05,0.3639560365316217,0.29838518148024357,0.034833886501654816,0.9930554353640437,0.999997661507935,0.11247625029525042,1.7645270507764105e-05,0.0002967781157144649,0.00031479153554774084,0.00031942281578895346,0.0003789141750605906,0.015832147390389805,0.09125288287357876,0.0
20.0,0.00011920573535178879,1.3322871658878884e-05,0.36938346062474325,0.3113069771465208,0.03662934776237972,0.9926966861080494,0.9999976589765254,0.1180324346527354,1.8590749961672072e-05,0.00029191470516273246,0.00031079876537892125,0.0003157159011717863,0.0003788647467062199,0.015798562291963764,0.09131807534548095,0.0
21.0,0.00011779081550598663,1.4072419244351908e-05,0.37475771092685956,0.3239857395256383,0.038421087471712634,0.9923386035054912,0.9999976564556856,0.1235538355070063,1.9600536152437197e-05,0.00028712769292142334,0.00030687138989405943,0.00031206951172444114,0.00037881024737895785,0.01576981551734473,0.0913831935403111,0.0
22.0,0.00011632986129462842,1.4846945807874123e-05,0.38007930839434173,0.3364259985492926,0.04020911534993978,0.9919811863175464,0.9999976539454094,0.1290406706139635,2.067448372791158e-05,0.00028244047382061123,0.0003030291386327239,0.0003085020609739687,0.0003787516409829218,0.015745218830603473,0.09144823754269689,0.0
23.0,0.00011482030963403873,1.564784999594001e-05,0.38534876887949093,0.34863220074171564,0.0419934411522309,0.991624433307694,0.9999976514456878,0.13449315636627773,2.1812076095261826e-05,0.0002778691644449256,0.0002992856094549663,0.0003050262492166701,0.0003786898054545402,0.015724182894262147,0.09151320743716948,0.0
24.0,0.00011325847294676291,1.6477129745258826e-05,0.3905666031810759,0.3606087108562269,0.04377407467434167,0.991268343241711,0.9999976489565092,0.13991150780197786,2.301255036652193e-05,0.000273426593788271,0.0002956517132143126,0.0003016522863009232,0.0003786255136733203,0.01570620031325709,0.09157810330816381,0.0
25.0,0.0001116394003268116,1.7337455897409722e-05,0.3957333170933994,0.37235981351477954,0.04555102576794923,0.9909129148876679,0.9999976464778588,0.14529593861288678,2.4274863980179522e-05,0.00026912230534044786,0.00029213538290584126,0.0002983875711985173,0.0003785594565515736,0.015690836400983472,0.09164292524001848,0.0
26.0,0.00010995711017157095,1.8232050644380475e-05,0.40084941145517033,0.38388971482328055,0.04732430435444365,0.9905581470159245,0.9999976440097206,0.15064666115302386,2.5597721404793283e-05,0.0002649635690620098,0.00028874269491966856,0.0002952377803264448,0.0003784922474530149,0.015677718920771834,0.09170767331697616,0.0
27.0,0.0001082050709250246,1.9164434705805133e-05,0.4059153821989779,0.3952025440167488,0.049093920438467685,0.9902040383991252,0.9999976415520748,0.1559638864470872,2.6979619335700994e-05,0.0002609568632975325,0.00028547904112837273,0.00029220794831706474,0.0003784244217541914,0.01566652616680803,0.09177234762318341,0.0
28.0,0.00010637587575181171,2.013859759675108e-05,0.41093172039788967,0.4063023550475828,0.05085988413291943,0.9898505878121956,0.9999976391049004,0.1612478241986008,2.841878868904977e-05,0.0002571029378270688,0.00028234517216060574,0.00028929882101034603,0.0003783564597567521,0.015656984895731755,0.09183694824269098,0.0
29.0,0.00010446158352851984,2.1158820560763173e-05,0.4158989123137991,0.41719312812369713,0.052622205669110286,0.989497794032338,0.9999976366681733,0.1664986827982781,2.991326632553988e-05,0.00025340696474881,0.00027934506765361835,0.0002865140596306136,0.00037828877890957796,0.015648860481261982,0.09190147525945384,0.0
30.0,0.00010245386945602325,2.2229594167833502e-05,0.4208174394450157,0.4278787714114319,0.05438089542741545,0.9891456558390261,0.9999976342418675,0.171716669332285,3.1460872888297423e-05,0.00024987177712704856,0.00027648090233343243,0.000283855674413537,0.0003782217455261959,0.015641950923446377,0.09196592875733134,0.0
31.0,0.00010034441848561466,2.335540578334768e-05,0.4256877785721106,0.43836312276394357,0.05613596398213086,0.9887941720140029,0.9999976318259545,0.17690198959032308,3.305922783505998e-05,0.00024649448090977195,0.00027375086337479165,0.00028132211373760834,0.0003781556695444354,0.015636083657267506,0.09203030882008723,0.0
32.0,9.812463084319757e-05,2.454090562164688e-05,0.43051040180443256,0.44864995091688187,0.057887422088263696,0.9884433413412742,0.9999976294204036,0.1820548480737735,3.4705816760819426e-05,0.00024327851171452477,0.0002711571262653581,0.0002789152947924307,0.0003780908210545533,0.015631110693712976,0.09209461553138984,0.0
33.0,9.578610555388895e-05,2.5790640473919748e-05,0.43528577662654583,0.45874295748343663,0.059635280749249266,0.9880931626071058,0.999997627025182,0.18717544800384034,3.6397956748940175e-05,0.00024022391217850983,0.0002686994402587262,0.00027663495460918336,0.000378027427406747,0.01562690408032007,0.09215884897481218,0.0
34.0,9.33208320390973e-05,2.7108944322785243e-05,0.4400143659424894,0.46864577883558217,0.061379551287105184,0.9877436346000193,0.999997624640255,0.1922639913294441,3.813277654728365e-05,0.0002373229668415698,0.0002663722104821259,0.000274476073668348,0.0003779656783910553,0.015623354869950467,0.09222300923383206,0.0
35.0,9.072093973383347e-05,2.8500091248960724e-05,0.4446966281210329,0.47836198701382465,0.06312024530941204,0.9873947561107873,0.9999976222655846,0.19732067873523026,3.990738541404124e-05,0.0002345791766980538,0.0002641773654128782,0.0002724402773852637,0.00037790573585027367,0.015620369604519195,0.09228709639183215,0.0
